sent	class
 It was a melancholy change; and Emma could not but sigh over it, and wish for impossible things, till her father awoke, and made it necessary to be cheerful	1
 His spirits required support	1
 He was a nervous man, easily depressed; fond of every body that he was used to, and hating to part with them; hating change of every kind Matrimony, as the origin of change, was always disagreeable; and he was by no means yet reconciled to his own daughter's marrying, nor could ever speak of her but with compassion, though it had been entirely a match of affection, when he was now obliged to part with Miss Taylor too; and from his habits of gentle selfishness, and of being never able to suppose that other people could feel differently from himself, he was very much disposed to think Miss Taylor had done as sad a thing for herself as for them, and would have been a great deal happier if she had spent all the rest of her life at Hartfield Emma smiled and chatted as cheerfully as she could, to keep him from such thoughts; but when tea came, it was impossible for him not to say exactly as he had said at dinner, Poor Miss Taylor! I wish she were here again	1
 What a pity it is that Mr Weston ever thought of her! I cannot agree with you, papa; you know I cannot	1
 Mr Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife; and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own	1
 A house of her own! But where is the advantage of a house of her own	1
 This is three times as large	1
 And you have never any odd humours, my dear How often we shall be going to see them, and they coming to see us! We shall be always meeting! must begin; we must go and pay wedding visit very soon	1
 My dear, how am I to get so far	1
 Randalls is such a distance	1
 I could not walk half so far No, papa, nobody thought of your walking	1
 We must go in the carriage, to be sure	1
 The carriage! But James will not like to put the horses to for such a little way; and where are the poor horses to be while we are paying our visit	1
 They are to be put into Mr Weston's stable, papa	1
 You know we have settled all that already	1
 We talked it all over with Mr Weston last night	1
 And as for James, you may be very sure he will always like going to Randalls, because of his daughter's being housemaid there	1
 I only doubt whether he will ever take us anywhere else	1
 That was your doing, papa	1
 You got Hannah that good place	1
 Nobody thought of Hannah till you mentioned her James is so obliged to you! I am very glad I did think of her It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her Whenever I see her, she always curtseys and asks me how I do, in a very pretty manner; and when you have had her here to do needlework, I observe she always turns the lock of the door the right way and never bangs it	1
 I am sure she will be an excellent servant; and it will be a great comfort to poor Miss Taylor to have somebody about her that she is used to see	1
 Whenever James goes over to see his daughter, you know, she will be hearing of us He will be able to tell her how we all are	1
 Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own	1
 The backgammon-table was placed; but a visitor immediately afterwards walked in and made it unnecessary	1
 Mr Knightley, a sensible man about seven or eight-and-thirty, was not only a very old and intimate friend of the family, but particularly connected with it, as the elder brother of Isabella's husband He lived about a mile from Highbury, was a frequent visitor, and always welcome, and at this time more welcome than usual, as coming directly from their mutual connexions in London	1
 He had returned to a late dinner, after some days' absence, and now walked up to Hartfield to say that all were well in Brunswick Square	1
 It was a happy circumstance, and animated Mr Woodhouse for some time	1
 Mr Knightley had a cheerful manner, which always did him good; and his many inquiries after poor Isabella and her children were answered most satisfactorily	1
 When this was over, Mr Woodhouse gratefully observed, It is very kind of you, Mr Knightley, to come out at this late hour to call upon us I am afraid you must have had a shocking walk	1
 Not at all, sir It is a beautiful moonlight night; and so mild that I must draw back from your great fire	1
 But you must have found it very damp and dirty	1
 I wish you may not catch cold Dirty, sir! Look at my shoes Not a speck on them Well! that is quite surprising, for we have had a vast deal of rain here	1
 It rained dreadfully hard for half an hour while we were at breakfast	1
 I wanted them to put off the wedding	1
 By the bye I have not wished you joy	1
 Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well	1
 How did you all behave	1
 Who cried most	1
 Ah! poor Miss Taylor! 'Tis a sad business Poor Mr and Miss Woodhouse, if you please; but I cannot possibly say `poor Miss Taylor	1
' I have a great regard for you and Emma; but when it comes to the question of dependence or independence! At any rate, it must be better to have only one to please than two	1
 Especially when of those two is such a fanciful, troublesome creature! said Emma playfully	1
 That is what you have in your head, I know and what you would certainly say if my father were not by	1
 I believe it is very true, my dear, indeed, said Mr Woodhouse, with a sigh	1
 I am afraid I am sometimes very fanciful and troublesome	1
 My dearest papa! You do not think I could mean , or suppose Mr Knightley to mean 	1
 What a horrible idea! Oh no! I meant only myself	1
 Mr Knightley loves to find fault with me, you know in a joke it is all a joke	1
 We always say what we like to one another Mr Knightley, in fact, was one of the few people who could see faults in Emma Woodhouse, and the only one who ever told her of them: and though this was not particularly agreeable to Emma herself, she knew it would be so much less so to her father, that she would not have him really suspect such a circumstance as her not being thought perfect by every body	1
 Emma knows I never flatter her, said Mr Knightley, but I meant no reflection on any body	1
 Miss Taylor has been used to have two persons to please; she will now have but one	1
 The chances are that she must be a gainer Well, said Emma, willing to let it pass you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly	1
 Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen	1
 Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day	1
 Dear Emma bears every thing so well, said her father But, Mr Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she miss her more than she thinks for Emma turned away her head, divided between tears and smiles It is impossible that Emma should not miss such a companion, said Mr Knightley	1
 We should not like her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure	1
 Every friend of Miss Taylor must be glad to have her so happily married And you have forgotten one matter of joy to me, said Emma, and a very considerable one that I made the match myself	1
 I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr Weston would never marry again, may comfort me for any thing	1
 Mr Knightley shook his head at her Her father fondly replied, Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass Pray do not make any more matches I promise you to make none for myself, papa; but I must, indeed, for other people	1
 It is the greatest amusement in the world! And after such success, you know! Every body said that Mr Weston would never marry again	1
 Oh dear, no! Mr Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied either in his business in town or among his friends here, always acceptable wherever he went, always cheerful Mr Weston need not spend a single evening in the year alone if he did not like it	1
 Oh no! Mr Weston certainly would never marry again	1
 Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him All manner of solemn nonsense was talked on the subject, but I believed none of it	1
 Ever since the day about four years ago that Miss Taylor and I met with him in Broadway Lane, when, because it began to drizzle, he darted away with so much gallantry, and borrowed two umbrellas for us from Farmer Mitchell's, I made up my mind on the subject	1
 I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making	1
 I do not understand what you mean by `success,' said Mr Knightley	1
 Success supposes endeavour Your time has been properly and delicately spent, if you have been endeavouring for the last four years to bring about this marriage	1
 A worthy employment for a young lady's mind! But if, which I rather imagine, your making the match, as you call it, means only your planning it, your saying to yourself one idle day, `I think it would be a very good thing for Miss Taylor if Mr Weston were to marry her,' and saying it again to yourself every now and then afterwards, why do you talk of success	1
 Where is your merit	1
 What are you proud of	1
 You made a lucky guess; and is all that can be said And have you never known the pleasure and triumph of a lucky guess	1
 I pity you	1
 I thought you cleverer for, depend upon it a lucky guess is never merely luck	1
 There is always some talent in it	1
 And as to my poor word `success,' which you quarrel with, I do not know that I am so entirely without any claim to it	1
 You have drawn two pretty pictures; but I think there may be a third a something between the do-nothing and the do-all	1
 If I had not promoted Mr Weston's visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all	1
 I think you must know Hartfield enough to comprehend that	1
 A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns You are more likely to have done harm to yourself, than good to them, by interference	1
 Emma never thinks of herself, if she can do good to others, rejoined Mr Woodhouse, understanding but in part	1
 But, my dear, pray do not make any more matches; they are silly things, and break up one's family circle grievously	1
 Only one more, papa; only for Mr Elton	1
 Poor Mr Elton! You like Mr Elton, papa, I must look about for a wife for him There is nobody in Highbury who deserves him and he has been here a whole year, and has fitted up his house so comfortably, that it would be a shame to have him single any longer and I thought when he was joining their hands to-day, he looked so very much as if he would like to have the same kind office done for him! I think very well of Mr Elton, and this is the only way I have of doing him a service	1
 Mr Elton is a very pretty young man, to be sure, and a very good young man, and I have a great regard for him But if you want to shew him any attention, my dear, ask him to come and dine with us some day	1
 That will be a much better thing	1
 I dare say Mr Knightley will be so kind as to meet him With a great deal of pleasure, sir, at any time, said Mr Knightley, laughing, and I agree with you entirely, that it will be a much better thing	1
 Invite him to dinner, Emma, and help him to the best of the fish and the chicken, but leave him to chuse his own wife	1
 Depend upon it, a man of six or seven-and-twenty can take care of himself	1
 I Mr Weston was a native of Highbury, and born of a respectable family, which for the last two or three generations had been rising into gentility and property	1
 He had received a good education, but, on succeeding early in life to a small independence, had become indisposed for any of the more homely pursuits in which his brothers were engaged, and had satisfied an active, cheerful mind and social temper by entering into the militia of his county, then embodied Captain Weston was a general favourite; and when the chances of his military life had introduced him to Miss Churchill, of a great Yorkshire family, and Miss Churchill fell in love with him, nobody was surprized, except her brother and his wife, who had never seen him, and who were full of pride and importance, which the connexion would offend Miss Churchill, however, being of age, and with the full command of her fortune though her fortune bore no proportion to the family-estate was not to be dissuaded from the marriage, and it took place, to the infinite mortification of Mr and Mrs Churchill, who threw her off with due decorum It was an unsuitable connexion, and did not produce much happiness Mrs Weston ought to have found more in it, for she had a husband whose warm heart and sweet temper made him think every thing due to her in return for the great goodness of being in love with him; but though she had one sort of spirit, she had not the best	1
 She had resolution enough to pursue her own will in spite of her brother, but not enough to refrain from unreasonable regrets at that brother's unreasonable anger, nor from missing the luxuries of her former home	1
 They lived beyond their income, but still it was nothing in comparison of Enscombe: she did not cease to love her husband, but she wanted at once to be the wife of Captain Weston, and Miss Churchill of Enscombe	1
 Captain Weston, who had been considered, especially by the Churchills, as making such an amazing match, was proved to have much the worst of the bargain; for when his wife died, after a three years' marriage, he was rather a poorer man than at first, and with a child to maintain	1
 From the expense of the child, however, he was soon relieved The boy had, with the additional softening claim of a lingering illness of his mother's, been the means of a sort of reconciliation; and Mr and Mrs Churchill, having no children of their own, nor any other young creature of equal kindred to care for, offered to take the whole charge of the little Frank soon after her decease	1
 Some scruples and some reluctance the widower-father may be supposed to have felt; but as they were overcome by other considerations, the child was given up to the care and the wealth of the Churchills, and he had only his own comfort to seek, and his own situation to improve as he could A complete change of life became desirable	1
 He quitted the militia and engaged in trade, having brothers already established in a good way in London, which afforded him a favourable opening	1
 It was a concern which brought just employment enough	1
 He had still a small house in Highbury, where most of his leisure days were spent; and between useful occupation and the pleasures of society, the next eighteen or twenty years of his life passed cheerfully away	1
 He had, by that time, realised an easy competence enough to secure the purchase of a little estate adjoining Highbury, which he had always longed for enough to marry a woman as portionless even as Miss Taylor, and to live according to the wishes of his own friendly and social disposition	1
 It was now some time since Miss Taylor had begun to influence his schemes; but as it was not the tyrannic influence of youth on youth, it had not shaken his determination of never settling till he could purchase Randalls, and the sale of Randalls was long looked forward to; but he had gone steadily on, with these objects in view, till they were accomplished He had made his fortune, bought his house, and obtained his wife; and was beginning a new period of existence, with every probability of greater happiness than in any yet passed through	1
 He had never been an unhappy man; his own temper had secured him from that, even in his first marriage; but his second must shew him how delightful a well-judging and truly amiable woman could be, and must give him the pleasantest proof of its being a great deal better to choose than to be chosen, to excite gratitude than to feel it	1
 He had only himself to please in his choice: his fortune was his own; for as to Frank, it was more than being tacitly brought up as his uncle's heir, it had become so avowed an adoption as to have him assume the name of Churchill on coming of age	1
 It was most unlikely, therefore, that he should ever want his father's assistance	1
 His father had no apprehension of it	1
 The aunt was a capricious woman, and governed her husband entirely; but it was not in Mr Weston's nature to imagine that any caprice could be strong enough to affect one so dear, and, as he believed, so deservedly dear He saw his son every year in London, and was proud of him; and his fond report of him as a very fine young man had made Highbury feel a sort of pride in him too	1
 He was looked on as sufficiently belonging to the place to make his merits and prospects a kind of common concern	1
 Mr Frank Churchill was one of the boasts of Highbury, and a lively curiosity to see him prevailed, though the compliment was so little returned that he had never been there in his life	1
 His coming to visit his father had been often talked of but never achieved Now, upon his father's marriage, it was very generally proposed, as a most proper attention, that the visit should take place	1
 There was not a dissentient voice on the subject, either when Mrs Perry drank tea with Mrs and Miss Bates, or when Mrs and Miss Bates returned the visit	1
 Now was the time for Mr Frank Churchill to come among them; and the hope strengthened when it was understood that he had written to his new mother on the occasion	1
 For a few days, every morning visit in Highbury included some mention of the handsome letter Mrs Weston had received I suppose you have heard of the handsome letter Mr Frank Churchill has written to Mrs Weston	1
 I understand it was a very handsome letter, indeed Mr Woodhouse told me of it	1
 Mr Woodhouse saw the letter, and he says he never saw such a handsome letter in his life	1
 It was, indeed, a highly prized letter Mrs Weston had, of course, formed a very favourable idea of the young man; and such a pleasing attention was an irresistible proof of his great good sense, and a most welcome addition to every source and every expression of congratulation which her marriage had already secured She felt herself a most fortunate woman; and she had lived long enough to know how fortunate she might well be thought, where the only regret was for a partial separation from friends whose friendship for her had never cooled, and who could ill bear to part with her She knew that at times she must be missed; and could not think, without pain, of Emma's losing a single pleasure, or suffering an hour's ennui, from the want of her companionableness: but dear Emma was of no feeble character; she was more equal to her situation than most girls would have been, and had sense, and energy, and spirits that might be hoped would bear her well and happily through its little difficulties and privations And then there was such comfort in the very easy distance of Randalls from Hartfield, so convenient for even solitary female walking, and in Mr Weston's disposition and circumstances, which would make the approaching season no hindrance to their spending half the evenings in the week together Her situation was altogether the subject of hours of gratitude to Mrs Weston, and of moments only of regret; and her satisfaction her more than satisfaction her cheerful enjoyment, was so just and so apparent, that Emma, well as she knew her father, was sometimes taken by surprize at his being still able to pity `poor Miss Taylor,' when they left her at Randalls in the centre of every domestic comfort, or saw her go away in the evening attended by her pleasant husband to a carriage of her own	1
 But never did she go without Mr Woodhouse's giving a gentle sigh, and saying, Ah, poor Miss Taylor! She would be very glad to stay	1
 There was no recovering Miss Taylor nor much likelihood of ceasing to pity her; but a few weeks brought some alleviation to Mr Woodhouse	1
 The compliments of his neighbours were over; he was no longer teased by being wished joy of so sorrowful an event; and the wedding-cake, which had been a great distress to him, was all eat up	1
 His own stomach could bear nothing rich, and he could never believe other people to be different from himself	1
 What was unwholesome to him he regarded as unfit for any body; and he had, therefore, earnestly tried to dissuade them from having any wedding-cake at all, and when that proved vain, as earnestly tried to prevent any body's eating it	1
 He had been at the pains of consulting Mr Perry, the apothecary, on the subject	1
 Mr Perry was an intelligent, gentlemanlike man, whose frequent visits were one of the comforts of Mr Woodhouse's life; and upon being applied to, he could not but acknowledge (though it seemed rather against the bias of inclination) that wedding-cake might certainly disagree with many perhaps with most people, unless taken moderately	1
 With such an opinion, in confirmation of his own, Mr Woodhouse hoped to influence every visitor of the newly married pair; but still the cake was eaten; and there was no rest for his benevolent nerves till it was all gone	1
 There was a strange rumour in Highbury of all the little Perrys being seen with a slice of Mrs Weston's wedding-cake in their hands: but Mr Woodhouse would never believe it	1
 II Mr Woodhouse was fond of society in his own way	1
 He liked very much to have his friends come and see him; and from various united causes, from his long residence at Hartfield, and his good nature, from his fortune, his house, and his daughter, he could command the visits of his own little circle, in a great measure, as he liked He had not much intercourse with any families beyond that circle; his horror of late hours, and large dinner-parties, made him unfit for any acquaintance but such as would visit him on his own terms Fortunately for him, Highbury, including Randalls in the same parish, and Donwell Abbey in the parish adjoining, the seat of Mr Knightley, comprehended many such	1
 Not unfrequently, through Emma's persuasion, he had some of the chosen and the best to dine with him: but evening parties were what he preferred; and, unless he fancied himself at any time unequal to company, there was scarcely an evening in the week in which Emma could not make up a card-table for him Real, long-standing regard brought the Westons and Mr Knightley; and by Mr Elton, a young man living alone without liking it, the privilege of exchanging any vacant evening of his own blank solitude for the elegancies and society of Mr Woodhouse's drawing-room, and the smiles of his lovely daughter, was in no danger of being thrown away	1
 After these came a second set; among the most come-at-able of whom were Mrs and Miss Bates, and Mrs Goddard, three ladies almost always at the service of an invitation from Hartfield, and who were fetched and carried home so often, that Mr Woodhouse thought it no hardship for either James or the horses Had it taken place only once a year, it would have been a grievance	1
 Mrs Bates, the widow of a former vicar of Highbury, was a very old lady, almost past every thing but tea and quadrille	1
 She lived with her single daughter in a very small way, and was considered with all the regard and respect which a harmless old lady, under such untoward circumstances, can excite	1
 Her daughter enjoyed a most uncommon degree of popularity for a woman neither young, handsome, rich, nor married Miss Bates stood in the very worst predicament in the world for having much of the public favour; and she had no intellectual superiority to make atonement to herself, or frighten those who might hate her into outward respect	1
 She had never boasted either beauty or cleverness Her youth had passed without distinction, and her middle of life was devoted to the care of a failing mother, and the endeavour to make a small income go as far as possible	1
 And yet she was a happy woman, and a woman whom no one named without good-will	1
 It was her own universal good-will and contented temper which worked such wonders She loved every body, was interested in every body's happiness, quicksighted to every body's merits; thought herself a most fortunate creature, and surrounded with blessings in such an excellent mother, and so many good neighbours and friends, and a home that wanted for nothing	1
 The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a mine of felicity to herself	1
 She was a great talker upon little matters, which exactly suited Mr Woodhouse, full of trivial communications and harmless gossip	1
 Mrs Goddard was the mistress of a School not of a seminary, or an establishment, or any thing which professed, in long sentences of refined nonsense, to combine liberal acquirements with elegant morality, upon new principles and new systems and where young ladies for enormous pay might be screwed out of health and into vanity but a real, honest, old-fashioned Boarding-school, where a reasonable quantity of accomplishments were sold at a reasonable price, and where girls might be sent to be out of the way, and scramble themselves into a little education, without any danger of coming back prodigies Mrs Goddard's school was in high repute and very deservedly; for Highbury was reckoned a particularly healthy spot: she had an ample house and garden, gave the children plenty of wholesome food, let them run about a great deal in the summer, and in winter dressed their chilblains with her own hands It was no wonder that a train of twenty young couple now walked after her to church	1
 She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea-visit; and having formerly owed much to Mr Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy-work, whenever she could, and win or lose a few sixpences by his fireside	1
 These were the ladies whom Emma found herself very frequently able to collect; and happy was she, for her father's sake, in the power; though, as far as she was herself concerned, it was no remedy for the absence of Mrs Weston	1
 She was delighted to see her father look comfortable, and very much pleased with herself for contriving things so well; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated As she sat one morning, looking forward to exactly such a close of the present day, a note was brought from Mrs Goddard, requesting, in most respectful terms, to be allowed to bring Miss Smith with her; a most welcome request: for Miss Smith was a girl of seventeen, whom Emma knew very well by sight, and had long felt an interest in, on account of her beauty	1
 A very gracious invitation was returned, and the evening no longer dreaded by the fair mistress of the mansion	1
 Harriet Smith was the natural daughter of somebody	1
 Somebody had placed her, several years back, at Mrs Goddard's school, and somebody had lately raised her from the condition of scholar to that of parlour-boarder This was all that was generally known of her history	1
 She had no visible friends but what had been acquired at Highbury, and was now just returned from a long visit in the country to some young ladies who had been at school there with her She was a very pretty girl, and her beauty happened to be of a sort which Emma particularly admired She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance	1
 She was not struck by any thing remarkably clever in Miss Smith's conversation, but she found her altogether very engaging not inconveniently shy, not unwilling to talk and yet so far from pushing, shewing so proper and becoming a deference, seeming so pleasantly grateful for being admitted to Hartfield, and so artlessly impressed by the appearance of every thing in so superior a style to what she had been used to, that she must have good sense, and deserve encouragement	1
 Encouragement should be given	1
 Those soft blue eyes, and all those natural graces, should not be wasted on the inferior society of Highbury and its connexions The acquaintance she had already formed were unworthy of her The friends from whom she had just parted, though very good sort of people, must be doing her harm They were a family of the name of Martin, whom Emma well knew by character, as renting a large farm of Mr Knightley, and residing in the parish of Donwell very creditably, she believed she knew Mr Knightley thought highly of them but they must be coarse and unpolished, and very unfit to be the intimates of a girl who wanted only a little more knowledge and elegance to be quite perfect	1
 would notice her; she would improve her; she would detach her from her bad acquaintance, and introduce her into good society; she would form her opinions and her manners It would be an interesting, and certainly a very kind undertaking; highly becoming her own situation in life, her leisure, and powers She was so busy in admiring those soft blue eyes, in talking and listening, and forming all these schemes in the in-betweens, that the evening flew away at a very unusual rate; and the supper-table, which always closed such parties, and for which she had been used to sit and watch the due time, was all set out and ready, and moved forwards to the fire, before she was aware	1
 With an alacrity beyond the common impulse of a spirit which yet was never indifferent to the credit of doing every thing well and attentively, with the real good-will of a mind delighted with its own ideas, did she then do all the honours of the meal, and help and recommend the minced chicken and scalloped oysters, with an urgency which she knew would be acceptable to the early hours and civil scruples of their guests Upon such occasions poor Mr Woodhouses feelings were in sad warfare	1
 He loved to have the cloth laid, because it had been the fashion of his youth, but his conviction of suppers being very unwholesome made him rather sorry to see any thing put on it; and while his hospitality would have welcomed his visitors to every thing, his care for their health made him grieve that they would eat	1
 Such another small basin of thin gruel as his own was all that he could, with thorough self-approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say: Mrs Bates, let me propose your venturing on one of these eggs An egg boiled very soft is not unwholesome	1
 Serle understands boiling an egg better than any body	1
 I would not recommend an egg boiled by any body else; but you need not be afraid, they are very small, you see one of our small eggs will not hurt you	1
 Miss Bates, let Emma help you to a little bit	1
 Ours are all apple-tarts You need not be afraid of unwholesome preserves here	1
 I do not advise the custard Mrs Goddard, what say you to half-glass, put into a tumbler of water	1
 I do not think it could disagree with you	1
 Emma allowed her father to talk but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy	1
 The happiness of Miss Smith was quite equal to her intentions Miss Woodhouse was so great a personage in Highbury, that the prospect of the introduction had given as much panic as pleasure; but the humble, grateful little girl went off with highly gratified feelings, delighted with the affability with which Miss Woodhouse had treated her all the evening, and actually shaken hands with her at last! V Harriet Smith's intimacy at Hartfield was soon a settled thing	1
 Quick and decided in her ways, Emma lost no time in inviting, encouraging, and telling her to come very often; and as their acquaintance increased, so did their satisfaction in each other As a walking companion, Emma had very early foreseen how useful she might find her In that respect Mrs Weston's loss had been important	1
 Her father never went beyond the shrubbery, where two divisions of the ground sufficed him for his long walk, or his short, as the year varied; and since Mrs Weston's marriage her exercise had been too much confined She had ventured once alone to Randalls, but it was not pleasant; and a Harriet Smith, therefore, one whom she could summon at any time to a walk, would be a valuable addition to her privileges But in every respect, as she saw more of her, she approved her, and was confirmed in all her kind designs Harriet certainly was not clever, but she had a sweet, docile, grateful disposition, was totally free from conceit, and only desiring to be guided by any one she looked up to	1
 Her early attachment to herself was very amiable; and her inclination for good company, and power of appreciating what was elegant and clever, shewed that there was no want of taste, though strength of understanding must not be expected Altogether she was quite convinced of Harriet Smith's being exactly the young friend she wanted exactly the something which her home required Such a friend as Mrs Weston was out of the question	1
 Two such could never be granted Two such she did not want	1
 It was quite a different sort of thing, a sentiment distinct and independent	1
 Mrs Weston was the object of a regard which had its basis in gratitude and esteem Harriet would be loved as one to whom she could be useful	1
 For Mrs Weston there was nothing to be done; for Harriet every thing	1
 Her first attempts at usefulness were in an endeavour to find out who were the parents, but Harriet could not tell	1
 She was ready to tell every thing in her power, but on this subject questions were vain	1
 Emma was obliged to fancy what she liked but she could never believe that in the same situation should not have discovered the truth	1
 Harriet had no penetration	1
 She had been satisfied to hear and believe just what Mrs Goddard chose to tell her; and looked no farther Mrs Goddard, and the teachers, and the girls and the affairs of the school in general, formed naturally a great part of the conversation and but for her acquaintance with the Martins of Abbey-Mill Farm, it must have been the whole	1
 But the Martins occupied her thoughts a good deal; she had spent two very happy months with them, and now loved to talk of the pleasures of her visit, and describe the many comforts and wonders of the place	1
 Emma encouraged her talkativeness amused by such a picture of another set of beings, and enjoying the youthful simplicity which could speak with so much exultation of Mrs Martin's having parlours, two very good parlours, indeed; one of them quite as large as Mrs Goddard's drawing-room; and of her having an upper maid who had lived five-and-twenty years with her; and of their having eight cows, two of them Alderneys, and one a little Welch cow, a very pretty little Welch cow indeed; and of Mrs Martin's saying as she was so fond of it, it should be called cow; and of their having a very handsome summer-house in their garden, where some day next year they were all to drink tea: a very handsome summer-house, large enough to hold a dozen people	1
 For some time she was amused, without thinking beyond the immediate cause; but as she came to understand the family better, other feelings arose	1
 She had taken up a wrong idea, fancying it was a mother and daughter, a son and son's wife, who all lived together; but when it appeared that the Mr Martin, who bore a part in the narrative, and was always mentioned with approbation for his great good-nature in doing something or other, was a single man; that there was no young Mrs Martin, no wife in the case; she did suspect danger to her poor little friend from all this hospitality and kindness, and that, if she were not taken care of, she might be required to sink herself forever With this inspiriting notion, her questions increased in number and meaning; and she particularly led Harriet to talk more of Mr Martin, and there was evidently no dislike to it	1
 Harriet was very ready to speak of the share he had had in their moonlight walks and merry evening games; and dwelt a good deal upon his being so very good-humoured and obliging	1
